system,tier,language,loc_count,files_count,execution_time_ms,wall_time_seconds,tokens_estimated,retries,status,strategy,modernization_actions
apache-ofbiz,Tier1,Java,885211,2742,824,1,2013198,0,COMPLETED,"javax-to-jakarta-migration","javax_imports=413;deprecated=130;static_mutable=2063;hardcoded_secrets=90;test_files=65;java_version=not-specified-in-gradle"
odoo,Tier1,Python,3007247,19575,4362,4,1597250,0,COMPLETED,"python-modernization","imp_usage=0;py2_patterns=3;type_coverage=2%;test_files=1729;hardcoded_secrets=55;django_version=not-found"
alfresco-community,Tier1,Java,1883473,10549,1714,2,1764967,0,COMPLETED,"java-platform-upgrade","javax_imports=302;deprecated=412;static_mutable=786;hardcoded_secrets=74;test_files=1447;java_version=21"
nuxeo,Tier2,Java,1197472,9647,2696,3,416725,0,COMPLETED,"java-simplification","javax_imports=527;deprecated=894;static_mutable=761;hardcoded_secrets=62;test_files=501;java_version=not-specified-in-pom"
django-oscar,Tier2,Python,85673,1074,282,0,87726,0,COMPLETED,"django-upgrade","imp_usage=0;py2_patterns=0;type_coverage=0%;test_files=180;hardcoded_secrets=33;django_version=not-found"
umbraco-cms,Tier2,C#,761123,7055,1509,1,597528,0,COMPLETED,"dotnet-migration","dotnet_version=legacy-framework;projects=31;obsolete=2;nuget_packages=113;test_files=1089"
mezzanine,Tier2,Python,64453,372,302,1,761682,0,COMPLETED,"python312-compatibility","imp_usage=1;py2_patterns=0;type_coverage=0%;test_files=9;hardcoded_secrets=3;django_version=not-found"
b2cweb,Tier2,Java,6507,79,77,0,37653,0,COMPLETED,"java-rebuild","javax_imports=52;deprecated=0;static_mutable=4;hardcoded_secrets=2;test_files=3;java_version=unknown"
dfe-net,Tier2,C#,112701,1199,253,0,214374,0,COMPLETED,"dotnet-modernization","dotnet_version=legacy-framework;projects=51;obsolete=0;nuget_packages=43;test_files=20"
monolith-enterprise,Tier2,Java,5897,119,88,0,48159,0,COMPLETED,"java17-migration","javax_imports=54;deprecated=0;static_mutable=4;hardcoded_secrets=3;test_files=16;java_version=1.7"
cfwheels,Tier2,ColdFusion,178321,1101,370,1,6564898,0,COMPLETED,"framework-migration","cfm_files=335;cfc_files=761;deprecated_tags=0;sql_injection_risk=46;test_files=81"
cics-banking-sample,Tier3,COBOL,0,0,0,0,0,0,SKIPPED,"mainframe-modernization","Directory not found - clone failed (403)"
nastran-95,Tier3,Fortran,417500,1848,392,0,1023854,0,COMPLETED,"fortran-modernization","f77_files=1848;f90_files=0;common_blocks=7572;gotos=40417;equivalence=1740;subroutines=1786"
apollo-11,Tier3,Assembly,130186,175,244,0,788030,0,COMPLETED,"historical-preservation","agc_files=175;instructions=81520;bank_refs=4517;tc_instructions=10653"
